ALMACEN,HUECO,CODIGO,DESCRIPCION,CANTIDAD,UNIDAD,PIEZAS,COSTO ESTANDAR,COSTO TOTAL ESTANDAR
4E BRANDS EUA,LAREDO_ASIMEX,4071957,HAND SOAP BLUMEN BLACK STONE CHERRY USA 7.5 FL OZ 12PCS,210.00,CAJA,2520.00,0.29,730.8000 
4E BRANDS EUA,LAREDO_ASIMEX,4071958,HAND SOAP BLUMEN BERRY DELICIOUS USA 7.5 FL OZ 12PCS,420.00,CAJA,5040.00,0.3,1512.000 
4E BRANDS EUA,LAREDO_ASIMEX,4071977,LIQUID HAND SOAP BLUMEN MINION 3D 16.9 FL OZ 6PCS,6.00,CAJA,36.00,2.83,101.8800 
4E BRANDS EUA,LAREDO_ASIMEX,4071981,LIQUID HAND SOAP BLUMEN MINION 3D TROPICAL COCONUT 16.9 FL OZ 6PCS,24.00,CAJA,144.00,2.83,407.5200 
4E BRANDS EUA,LAREDO_ASIMEX,4072058,LIQUID HAND SOAP SOLEI NOIX DE COCO 15FL OZ 24PCS,6.00,CAJA,144.00,0.2,28.800 
4E BRANDS EUA,LAREDO_ASIMEX,4072078,LIQUID HAND SOAP MINIONS MOVIE KEVIN 3D COCONUT 16.9 FL OZ 6PCS,45.00,CAJA,270.00,3.24,874.8000 
4E BRANDS EUA,LAREDO_ASIMEX,4072297,HAND SOAP FAMILY DOLLAR ANTIBACTERIAL 40 FL OZ 4PCS,1047.00,CAJA,4188.00,0.7,2931.600 
4E BRANDS EUA,LAREDO_ASIMEX,4072358,LIQUID HAND SOAP KLAR & DANVER APPLE FIELDS 23 FL OZ 12PCS,2520.00,CAJA,30240.00,0.39,11793.6000 
4E BRANDS EUA,LAREDO_ASIMEX,4072359,LIQUID HAND SOAP KLAR DANVER REFILL BERRY DELICIOUS 23FL OZ 12PCS,4230.00,CAJA,50760.00,0.39,19796.4000 
4E BRANDS EUA,LAREDO_ASIMEX,4072372,FOAMING SOAP KLAR AND DANVER PEARS 11.25 FL OZ 24PCS,2432.00,CAJA,58368.00,0.39,22763.5200 
4E BRANDS EUA,LAREDO_ASIMEX,4072373,FOAMING SOAP KLAR AND DANVER FRESH 11.25 FL OZ 24PCS,2880.00,CAJA,69120.00,0.39,26956.8000 
4E BRANDS EUA,LAREDO_ASIMEX,4161278,SHAMPOO 2 IN 1 DESPICABLE ME DUCK 3D 1000 ml (33.8 FL OZ) 2PZ,8003.00,CAJA,16006.00,6.26,100197.5600 
4E BRANDS EUA,LAREDO_ASIMEX,4161300,SHAMPOO 2 IN 1 MINION DUCK 3D COCONUT 1000 ml (33.8 FL OZ) 80PZ ,1563.00,CAJA,1563.00,6.26,9784.3800 
4E BRANDS EUA,LAREDO_ASIMEX,4161410,BODY WASH KLAR AND DANVER FOR MEN 20 FL OZ 12PCS,2346.00,CAJA,28152.00,0.41,11542.3200 
4E BRANDS EUA,LAREDO_ASIMEX,4161411,BODY WASH KLAR AND DANVER FOR WOMEN 20 FL OZ 12PCS,1122.00,CAJA,13464.00,0.41,5520.2400 
4E BRANDS EUA,LAREDO_GOMSA,4051330,HAND SANITIZER ASSURED CLEAR 10 FL OZ 24PCS 24/410 ,4544.00,CAJA,109056.00,0.45,49075.2000 
4E BRANDS EUA,LAREDO_GOMSA,4051331,HAND SANITIZER ASSURED ALOE 10 FL OZ 24PCS 24/410,2944.00,CAJA,70656.00,0.45,31795.2000 
4E BRANDS EUA,LAREDO_GOMSA,4071214, KLAR DANVER LIQUID HAND SOAP BERRY DELICIOUS CLEANSES MOISTURIZES 443ML 24CPS,198.00,CAJA,4752.00,0.39,1853.2800 
4E BRANDS EUA,LAREDO_GOMSA,4072297,HAND SOAP FAMILY DOLLAR ANTIBACTERIAL 40 FL OZ 4PCS,1345.00,CAJA,5380.00,0.7,3766.000 
4E BRANDS EUA,LAREDO_GOMSA,4161411,BODY WASH KLAR AND DANVER FOR WOMEN 20 FL OZ 12PCS,858.00,CAJA,10296.00,0.41,4221.3600 
4E BRANDS EUA,MIAMI,3071607,LIQUID HAND SOAP MINION DUCK 3D TROPICAL COCONUT 33.8FL OZ,2790.00,PIEZA,2790.00,FALTA VALUACION,  
4E BRANDS EUA,MIAMI,3071787,HALF PALLET LIQUID HAND SOAP BLUMEN MINION 3D 16.9 FL OZ,22150.00,PIEZA,22150.00,3.09,68443.5000 
4E BRANDS EUA,MIAMI,3072078,LIQUID HAND SOAP MINIONS MOVIE KEVIN 3D COCONUT 16.9 FL OZ,1363.00,PIEZA,1363.00,3.24,4416.1200 
4E BRANDS EUA,SMO_BRANDS,4161411,BODY WASH KLAR AND DANVER FOR WOMEN 20 FL OZ 12PCS,2448.00,CAJA,29376.00,0.41,12044.1600 
4E BRANDS EUA,TRANSITO_4E BRANDS,4071213,KLAR DANVER LIQUID HAND SOAP APPLE FIELDS 443ML CLEANSES MOISTURIZES 443ML 24PZ,726.00,CAJA,17424.00,0.39,6795.3600 
4E BRANDS EUA,TRANSITO_4E BRANDS,4071214, KLAR DANVER LIQUID HAND SOAP BERRY DELICIOUS CLEANSES MOISTURIZES 443ML 24CPS,858.00,CAJA,20592.00,0.39,8030.8800 
4E BRANDS EUA,TRANSITO_4E BRANDS,4071440,KLAR DANVER ANTIBACTERIAL LIQUID HAND SOAP SOFT CLEAN SCENT 443ML 24PZ ,858.00,CAJA,20592.00,0.41,8442.7200 
4E BRANDS EUA,TRANSITO_4E BRANDS,4071442,KLAR DANVER LIQUID HAND SOAP OCEAN FRESH CLEANSES MOISTURIZES 443ML 24PCS,594.00,CAJA,14256.00,0.39,5559.8400 
4E BRANDS EUA,TRANSITO_4E BRANDS,4072294,HAND SOAP FAMILY DOLLAR ANTIBACTERIAL 7.5 FL OZ 36PCS,349.00,CAJA,12564.00,0.26,3266.6400 
4E BRANDS EUA,TRANSITO_4E BRANDS,4072295,HAND SOAP FAMILY DOLLAR CLEAR 40 FL OZ 4PCS,843.00,CAJA,3372.00,0.7,2360.400 
4E BRANDS EUA,TRANSITO_4E BRANDS,4072297,HAND SOAP FAMILY DOLLAR ANTIBACTERIAL 40 FL OZ 4PCS,3000.00,CAJA,12000.00,0.7,8400.000 
4E BRANDS EUA,TRANSITO_4E BRANDS,4072358,LIQUID HAND SOAP KLAR & DANVER APPLE FIELDS 23 FL OZ 12PCS,1800.00,CAJA,21600.00,0.39,8424.0000 
4E BRANDS EUA,TRANSITO_4E BRANDS,4072359,LIQUID HAND SOAP KLAR DANVER REFILL BERRY DELICIOUS 23FL OZ 12PCS,720.00,CAJA,8640.00,0.39,3369.6000 
4E BRANDS EUA,TRANSITO_4E BRANDS,4072372,FOAMING SOAP KLAR AND DANVER PEARS 11.25 FL OZ 24PCS,640.00,CAJA,15360.00,0.39,5990.4000 
4E BRANDS EUA,TRANSITO_4E BRANDS,4072373,FOAMING SOAP KLAR AND DANVER FRESH 11.25 FL OZ 24PCS,1280.00,CAJA,30720.00,0.39,11980.8000 
